ISO3_Code,Country_Name,M49_Code,Debt_2016,Debt_2017,Debt_2018,Debt_2019,Debt_2020,Debt_Avg
ARG,Argentina,32.0,34.9283398192354,51.7302547597257,51.5485855961066,50.8588557905061,41.086628253414,46.03053284379756
AUS,Australia,36.0,,,,,,
BRA,Brazil,76.0,51.0110829785495,34.6166157924529,33.1539901737395,53.229235209566,50.6392925612242,44.53004334310642
CHN,China,159.0,6.91882923926506,7.5868436124169,8.2527661040724,9.49476818208949,9.20632202200021,8.291905831968812
FRA,France,250.0,,,,,,
DEU,Germany,276.0,,,,,,
IND,India,356.0,17.2633780366708,10.0846698006647,11.3975539281985,9.00225355052496,15.0286920555737,12.555309474326531
IDN,Indonesia,360.0,37.4785752795688,29.4350871765661,25.0724280402359,39.4126775704057,36.7400391896815,33.6277614512916
ITA,Italy,380.0,,,,,,
JPN,Japan,392.0,,,,,,
KOR,Republic of Korea,410.0,,,,,,
MEX,Mexico,484.0,19.29604866596,14.652121197327,11.8772512251083,12.3848532244009,15.5348478395627,14.749024430471781
NLD,Netherlands,528.0,,,,,,
RUS,Russian Federation,643.0,25.0615584553868,17.7477650917829,19.5907817148807,17.9656609588077,22.9573825279657,20.66462974976476
SAU,Saudi Arabia,682.0,,,,,,
ESP,Spain,724.0,,,,,,
CHE,Switzerland,756.0,,,,,,
TUR,Türkiye,792.0,37.2405633234639,38.0503192065151,34.6047003530228,34.5943491794062,41.3420819607536,37.16640280463232
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,,,,,,
USA,United States of America,840.0,,,,,,
AFG,Afghanistan,4.0,4.37308774385413,4.38145622949794,3.33306849551252,2.97359588967048,2.67298474456493,3.546838620620001
ALB,Albania,8.0,15.1681195578845,11.1409381354262,20.6974896534476,12.2686089764318,29.8756051740197,17.83015229944196
DZA,Algeria,12.0,1.01403802715903,0.599990207704779,0.47687970503853,0.491759309197809,0.678335057431008,0.6522004613062312
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,38.2657270111209,25.5215502580774,26.4030252565204,32.4364344053484,39.2612530963817,32.37759800548976
ATG,Antigua and Barbuda,28.0,,,,,,
ARM,Armenia,51.0,33.1048496686526,26.4180845119003,28.4903047693578,31.1301023688744,34.8613284069874,30.800933945154497
ABW,Aruba,533.0,,,,,,
AUT,Austria,40.0,,,,,,
AZE,Azerbaijan,31.0,9.53685764011544,10.5684138125178,9.89261548458163,8.57623437651063,10.7586384094279,9.86655194463068
BHS,Bahamas,44.0,,,,,,
BHR,Bahrain,48.0,,,,,,
BGD,Bangladesh,50.0,4.63563369700074,5.45458910037808,6.44421178339813,12.787338368337,9.9149896807686,7.847352525976511
BRB,Barbados,52.0,,,,,,
BLR,Belarus,112.0,20.318907338682,11.7755887758454,13.3189514000796,10.4516456803401,11.2243412876408,13.417886896517581
BEL,Belgium,56.0,,,,,,
BLZ,Belize,84.0,10.4917684199271,10.0634347639991,10.5260465943405,9.36643024652193,11.0205833420491,10.293652673367545
BEN,Benin,204.0,2.98886378557894,3.03114425514082,5.85223387369348,13.8775106350539,,6.437438137366785
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,16.5847794392432,11.0524403566625,10.6267601251237,7.55413125406875,7.14159058900844,10.591940352821318
BOL,Bolivia (Plurinational State of),68.0,9.21953909473769,10.024147779664,9.51958546767566,10.373980979727,15.3190959451304,10.89126985338695
BIH,Bosnia and Herzegovina,70.0,18.4389221386829,16.9156035197412,22.1510649961937,17.4696754640971,22.6348082848703,19.52201488071704
BWA,Botswana,72.0,1.99652588385784,2.45952711644385,2.37922094452262,3.02761671102525,3.79120165059499,2.73081846128891
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,,,,,,
BGR,Bulgaria,100.0,22.7628183680481,21.0827767703668,15.1558509671827,12.6338357986576,12.5946154705381,16.84597947495866
BFA,Burkina Faso,854.0,3.69615497692474,3.61691400783676,3.20769555583661,3.52976195865991,,3.512631624814505
BDI,Burundi,108.0,16.0191368282633,9.55400797804711,9.93248139936809,,,11.835208735226166
CPV,Cabo Verde,132.0,5.90718968888539,6.14104160448345,5.60759630079369,5.91425614906821,13.3503104662746,7.384078841901068
KHM,Cambodia,116.0,5.14839903407309,6.24101194221833,6.73293616466018,6.94164133311693,7.09983019881752,6.43276373457721
CMR,Cameroon,120.0,13.3924754687549,10.6894898947636,14.1354483021454,14.3503882587852,19.784341240975,14.470428633084818
CAN,Canada,124.0,,,,,,
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,,,,,,
TCD,Chad,148.0,,,,,,
CHL,Chile,152.0,,,,,,
COL,Colombia,170.0,33.1744082142441,40.7593035789735,40.8006519872279,32.9691040804518,51.048574156046,39.75040840338867
COM,Comoros,174.0,5.54648763813543,2.98082051223683,3.88710601982862,2.89097960853206,10.4431704445956,5.149712844665708
COD,Democratic Republic of the Congo,180.0,4.02297679479618,3.39294349302154,2.3297474405746,7.19585943514332,2.30941222641573,3.850187877990274
COG,Congo,178.0,8.13438090093637,,,,,8.13438090093637
CRI,Costa Rica,188.0,14.8848622762542,14.9481080824652,15.5066994441108,13.7865775989489,14.8407859360561,14.79340666756704
CIV,Côte d'Ivoire,384.0,12.9730963153988,17.0951138013737,12.317098480499,21.1857703880654,,15.892769746334224
HRV,Croatia,191.0,,,,,,
CUB,Cuba,192.0,,,,,,
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,,,,,,
CZE,Czechia,203.0,,,,,,
DNK,Denmark,208.0,,,,,,
DJI,Djibouti,262.0,2.14604295065645,1.71624234389153,1.58361883188008,1.5231958284713,1.65982495119188,1.7257849812182477
DMA,Dominica,212.0,9.60741402965362,12.5042544194992,17.4142778082426,12.4926022527784,23.7143708040176,15.146583862838284
DOM,Dominican Republic,214.0,18.6013519565159,15.5808046954367,14.7465589947269,18.1560263313987,44.9753125787266,22.41201091136096
ECU,Ecuador,218.0,26.5803747459453,29.1435744656601,35.6630127155527,35.6826042330608,41.6182291009457,33.73755905223292
EGY,Egypt,818.0,19.5030354372015,15.353254148771,15.0534603325028,16.1229426697292,29.4701759706453,19.10057371176996
SLV,El Salvador,222.0,20.064853896716,51.6213408134885,45.4526441707805,68.4496318655662,80.0993397108161,53.137562091473455
GNQ,Equatorial Guinea,226.0,,,,,,
ERI,Eritrea,232.0,,,,,,
EST,Estonia,233.0,,,,,,
