ISO3_Code,Country_Name,M49_Code,Tax_Revenue_2016,Tax_Revenue_2017,Tax_Revenue_2018,Tax_Revenue_2019,Tax_Revenue_2020,Tax_Revenue_Avg
ARG,Argentina,32.0,12.0972836411962,10.939623860491,9.99239008384335,10.4759215719336,10.758498148152,10.85274346112323
AUS,Australia,36.0,22.2743077338841,22.0857675207496,23.1935173358308,23.4177085110275,22.5960261824879,22.71346545679598
BRA,Brazil,76.0,13.7104309816062,13.605228515206,13.9401079935106,13.7376948362641,12.9612195690296,13.5909363791233
CHN,China,159.0,9.12291556057604,9.41931765253305,9.05268573156305,8.49286376989869,8.09062623388489,8.835681789691144
FRA,France,250.0,23.0648275010082,23.6293346543377,24.1708437248498,24.5146627776513,24.7758439505658,24.03110252168256
DEU,Germany,276.0,11.2961202523973,11.419122418247,11.4506838170233,11.4108281630127,10.66701112972,11.248753156080062
IND,India,356.0,11.1477384183764,11.3874439798131,12.0174277483166,,,11.517536715502033
IDN,Indonesia,360.0,10.3363487033276,9.8772930803788,10.230143021132,9.75196180827865,8.31297738716646,9.701744800056703
ITA,Italy,380.0,25.0703095459877,24.683679444024,24.2381807022638,24.576905989412,24.8454293454274,24.682901005422984
JPN,Japan,392.0,,,,,,
KOR,Republic of Korea,410.0,13.981952981677,14.4938185341627,15.5363837327673,15.1995665314457,14.9194818433207,14.82624072467468
MEX,Mexico,484.0,13.5343603549909,13.0356726825138,13.0646377793546,13.1373520395557,14.3314907823789,13.42070272775878
NLD,Netherlands,528.0,21.9051101382534,23.0855413427696,23.0563304034822,24.0454827779179,24.2729925821309,23.273091448910797
RUS,Russian Federation,643.0,9.18312209969854,10.2884056740183,11.4687676015317,10.938399737976,10.8336155236019,10.542462127365287
SAU,Saudi Arabia,682.0,3.38998150725739,3.384836427853,8.59720386082995,7.30210383063642,8.59939477379627,6.254704080074606
ESP,Spain,724.0,,13.7223107291971,14.2328459625068,13.7612054244098,13.5272757739218,13.810909472508875
CHE,Switzerland,756.0,9.30042803315799,9.92912781437063,9.55965751912104,9.76639006437332,9.21614052636892,9.554348791478379
TUR,Türkiye,792.0,18.2655872255633,17.7181577427261,17.2771971251773,16.5264011121809,17.6472612007004,17.4869208812696
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,25.0993485196649,25.3769056282762,25.2595222546197,24.9289335307365,24.2579803299973,24.98453805265892
USA,United States of America,840.0,10.914137483561,11.7489196063404,9.92503246635575,10.0305627987424,9.94030613469903,10.511791697939717
AFG,Afghanistan,4.0,9.50265278288094,9.89845089688421,,,,9.700551839882575
ALB,Albania,8.0,17.590229809729,18.8874919791442,18.5459516560754,18.1443771903866,17.017906947217,18.03719151651044
DZA,Algeria,12.0,,,,,,
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,9.73251248352788,9.223777502108,9.64477850341357,10.090385804431,,9.672863573370112
ATG,Antigua and Barbuda,28.0,,,,,,
ARM,Armenia,51.0,21.2773752756378,20.7806533587524,20.8701039031814,22.2851709900772,21.8612626914491,21.41491324381958
ABW,Aruba,533.0,,,,,,
AUT,Austria,40.0,25.4191692326751,25.4222261761887,25.4076193241235,25.5597185479701,24.2967241216769,25.22109148052686
AZE,Azerbaijan,31.0,14.5555165725558,13.1640455061148,12.9712717874444,14.2188526451777,,13.727421627823174
BHS,Bahamas,44.0,14.1893439828976,14.897433080938,14.3908966901331,16.6658935176763,19.1583170988195,15.860376874092898
BHR,Bahrain,48.0,,,,,,
BGD,Bangladesh,50.0,7.31691184755758,6.99714263243688,7.73177216647423,7.63863895493657,7.00153652321841,7.337200424924734
BRB,Barbados,52.0,27.4784601628837,,,,,27.4784601628837
BLR,Belarus,112.0,13.7882356123814,13.0190056104974,14.6725689698389,13.3015061393462,12.0229071990569,13.36084470622416
BEL,Belgium,56.0,22.8423291844664,23.4482589712933,24.0064317613206,22.6405254779567,22.1190130306318,23.011311685133755
